ID,SCH_NAME,GENDER,LEVEL,EDUCATION,EXPERIENCE,KA1,KA2,KA3,KA4,KA5,KA6,TS1,TS2,TS3,TS4,TS5,TS6,IS1,IS2,IS3,IS4,IS5,IS6,IP1,IP2,IP3,IP4,IP5,IP6,TP1,TP2,TP3,TP4,TP5,TP6
42,KESHO ANIRUDDHAVATI MA VI,MALE,PRIMARY TEACHER,SLC/SEE,ABOVE 30 YEARS,5,5,3,3,5,4,1,2,3,2,3,2,4,4,3,2,1,3,4,4,3,3,4,4,4,4,4,5,5,4
43,KESHO ANIRUDDHAVATI MA VI,MALE,LOWER SECONDARY TEACHER,10+2 OR PCL,ABOVE 30 YEARS,5,4,4,4,4,4,1,3,2,4,3,3,4,5,4,3,4,4,5,4,4,4,5,4,3,4,4,3,5,4
44,KESHO ANIRUDDHAVATI MA VI,MALE,PRIMARY TEACHER,BACHERLORS,BELOW 10 YEARS,5,4,3,4,5,4,2,2,3,2,1,2,4,4,3,2,2,3,4,4,4,4,4,4,5,5,5,4,5,4
45,KESHO ANIRUDDHAVATI MA VI,MALE,SECONDARY TEACHER,MASTERS,BELOW 10 YEARS,5,5,5,4,5,3,1,4,4,3,1,3,4,5,4,4,3,3,2,4,3,4,5,4,4,4,4,5,5,5
46,KESHO ANIRUDDHAVATI MA VI,FEMALE,PRIMARY TEACHER,10+2 OR PCL,ABOVE 30 YEARS,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5
47,KESHO ANIRUDDHAVATI MA VI,MALE,SECONDARY TEACHER,MASTERS,BELOW 10 YEARS,4,3,4,4,3,4,1,2,1,2,1,2,4,4,3,2,2,3,4,4,4,4,4,4,5,5,5,4,5,4
48,KESHO ANIRUDDHAVATI MA VI,MALE,LOWER SECONDARY TEACHER,BACHERLORS,10-20 YEARS,4,3,4,4,3,4,1,2,1,2,2,2,4,4,3,3,3,4,4,4,4,4,4,4,5,5,5,4,5,4
49,KESHO ANIRUDDHAVATI MA VI,MALE,LOWER SECONDARY TEACHER,BACHERLORS,ABOVE 30 YEARS,4,2,4,5,5,4,1,1,1,1,2,1,4,5,3,2,1,1,5,5,5,1,4,3,4,1,1,4,5,4
50,KESHO ANIRUDDHAVATI MA VI,MALE,LOWER SECONDARY TEACHER,MASTERS,10-20 YEARS,5,1,2,5,5,4,5,4,1,4,1,1,4,5,4,1,1,4,5,5,4,4,3,4,5,3,4,1,4,3
51,KESHO ANIRUDDHAVATI MA VI,FEMALE,LOWER SECONDARY TEACHER,MASTERS,10-20 YEARS,3,3,5,5,5,5,2,1,3,5,1,3,5,4,5,2,5,5,5,5,4,5,4,5,2,5,5,4,5,5
52,KESHO ANIRUDDHAVATI MA VI,FEMALE,PRIMARY TEACHER,BACHERLORS,10-20 YEARS,5,4,3,5,4,4,3,3,4,5,3,4,5,5,5,4,5,5,5,4,4,5,5,5,5,4,5,4,5,5
53,KESHO ANIRUDDHAVATI MA VI,FEMALE,SECONDARY TEACHER,MASTERS,10-20 YEARS,5,5,5,5,5,5,5,5,5,5,3,3,5,5,5,5,5,5,5,5,5,5,5,4,2,4,5,2,5,2
54,KESHO ANIRUDDHAVATI MA VI,FEMALE,PRIMARY TEACHER,BACHERLORS,21-30 YEARS,5,4,3,5,4,4,4,3,4,5,5,4,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,4,5,5
55,KESHO ANIRUDDHAVATI MA VI,MALE,LOWER SECONDARY TEACHER,BACHERLORS,ABOVE 30 YEARS,3,2,3,2,3,3,2,2,1,4,1,1,2,3,3,1,2,5,3,3,2,3,4,5,3,5,5,1,5,3
56,KESHO ANIRUDDHAVATI MA VI,MALE,SECONDARY TEACHER,MASTERS,10-20 YEARS,5,5,5,5,5,5,4,5,5,4,4,4,5,5,4,4,4,5,5,5,5,5,5,5,4,5,4,5,5,4
57,KESHO ANIRUDDHAVATI MA VI,MALE,SECONDARY TEACHER,MASTERS,21-30 YEARS,3,4,4,4,4,4,4,2,4,4,2,2,4,4,4,3,4,4,4,4,4,4,4,4,4,2,2,4,4,3
58,KESHO ANIRUDDHAVATI MA VI,MALE,PRIMARY TEACHER,BACHERLORS,BELOW 10 YEARS,5,4,2,1,4,5,2,3,2,2,2,5,5,4,2,2,4,4,4,4,2,4,2,2,4,2,2,3,4,4
59,KESHO ANIRUDDHAVATI MA VI,MALE,PRIMARY TEACHER,MASTERS,10-20 YEARS,3,2,4,3,3,4,1,2,3,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,3,4,4,4,4
60,KESHO ANIRUDDHAVATI MA VI,MALE,PRIMARY TEACHER,10+2 OR PCL,10-20 YEARS,5,4,2,1,4,5,4,3,2,2,2,5,5,3,2,2,4,4,4,4,2,2,2,2,4,2,2,3,4,4
61,KESHO ANIRUDDHAVATI MA VI,FEMALE,SECONDARY TEACHER,MASTERS,21-30 YEARS,5,3,4,3,4,4,2,4,3,3,1,1,3,3,3,2,2,4,4,4,3,4,4,5,5,5,5,5,2,4
62,KESHO ANIRUDDHAVATI MA VI,FEMALE,OTHERS,10+2 OR PCL,10-20 YEARS,5,4,2,1,4,5,2,3,2,2,2,5,5,4,2,2,4,4,4,4,2,4,2,2,4,2,2,3,4,4
63,KESHO ANIRUDDHAVATI MA VI,MALE,SECONDARY TEACHER,BACHERLORS,21-30 YEARS,5,1,3,4,4,5,4,2,4,5,1,1,4,4,4,1,3,3,4,4,3,2,5,3,4,1,1,2,2,2
64,KESHO ANIRUDDHAVATI MA VI,MALE,SECONDARY TEACHER,MASTERS,BELOW 10 YEARS,3,4,4,4,5,5,3,4,4,4,5,4,3,4,4,5,4,5,3,4,4,5,5,4,3,4,5,4,4,5
65,KESHO ANIRUDDHAVATI MA VI,MALE,LOWER SECONDARY TEACHER,MASTERS,BELOW 10 YEARS,5,4,4,4,5,5,5,5,5,4,5,5,4,4,4,2,2,2,4,2,2,4,2,4,4,1,1,1,4,4
74,KESHO ANIRUDDHAVATI MA VI,MALE,SECONDARY TEACHER,MASTERS,ABOVE 30 YEARS,5,4,5,5,5,4,1,5,1,4,1,2,5,5,5,5,5,5,5,5,4,5,4,5,4,5,5,5,4,4
66,MAHAVIR MA BI BISHHARIYA,MALE,LOWER SECONDARY TEACHER,MASTERS,21-30 YEARS,4,4,5,4,4,5,2,2,2,2,2,3,4,5,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4
67,MAHAVIR MA BI BISHHARIYA,MALE,SECONDARY TEACHER,MASTERS,ABOVE 30 YEARS,5,5,5,5,4,4,5,4,3,3,3,1,3,5,5,5,5,5,4,4,4,3,4,4,4,4,5,5,5,5
68,MAHAVIR MA BI BISHHARIYA,MALE,LOWER SECONDARY TEACHER,BACHERLORS,21-30 YEARS,5,3,4,5,5,4,5,5,5,5,5,4,5,5,5,4,4,5,5,5,5,5,4,4,4,3,4,5,5,5
